+------+----------------------+-----+--------+---------+
| Rank | Name                 | PRI | RAW01  | Context |
+======+======================+=====+========+=========+
| 1    | wraith               | 97  | 0.5582 | batch   |
| 2    | joh                  | 94  | 0.5285 | batch   |
| 3    | rocko                | 94  | 0.5242 | batch   |
| 4    | dallas               | 92  | 0.5068 | batch   |
| 5    | Uni                  | 89  | 0.4729 | batch   |
| 6    | vecolt               | 88  | 0.4630 | batch   |
| 7    | zCxsmic              | 87  | 0.4595 | batch   |
| 8    | GoatedRahim          | 87  | 0.4550 | batch   |
| 9    | Carti                | 86  | 0.4501 | batch   |
| 10   | danny                | 86  | 0.4471 | batch   |
| 11   | deej                 | 86  | 0.4452 | batch   |
| 12   | kevdaw               | 85  | 0.4369 | batch   |
| 13   | therighster          | 84  | 0.4313 | batch   |
| 14   | kqco                 | 84  | 0.4304 | batch   |
| 15   | OPLockdownDefender   | 84  | 0.4284 | batch   |
| 16   | sehctn               | 84  | 0.4282 | batch   |
| 17   | pinkpuppyprincess222 | 84  | 0.4273 | batch   |
| 18   | Brady                | 84  | 0.4267 | batch   |
| 19   | SupremityXO          | 84  | 0.4261 | batch   |
| 20   | GeeSelm              | 84  | 0.4249 | batch   |
| 21   | kson                 | 84  | 0.4224 | batch   |
| 22   | Keen                 | 83  | 0.4177 | batch   |
| 23   | druskl               | 82  | 0.4051 | batch   |
| 24   | ledevoirkaisle       | 82  | 0.4045 | batch   |
| 25   | SmallLeron           | 81  | 0.4026 | batch   |
| 26   | m6ly                 | 81  | 0.3950 | batch   |
| 27   | zam                  | 81  | 0.3936 | batch   |
| 28   | klowry7              | 80  | 0.3897 | batch   |
| 29   | Amir                 | 80  | 0.3884 | batch   |
| 30   | vipe                 | 80  | 0.3875 | batch   |
| 31   | breeze               | 80  | 0.3873 | batch   |
| 32   | Bryce                | 80  | 0.3862 | batch   |
| 33   | 91pts                | 80  | 0.3854 | batch   |
| 34   | joeylawliet          | 79  | 0.3819 | batch   |
| 35   | splash               | 79  | 0.3817 | batch   |
| 36   | royal                | 79  | 0.3794 | batch   |
| 37   | genoc9de             | 79  | 0.3763 | batch   |
| 38   | Hira                 | 78  | 0.3683 | batch   |
| 39   | Pluds                | 78  | 0.3674 | batch   |
| 40   | noisy boy            | 78  | 0.3659 | batch   |
| 41   | jaxx                 | 78  | 0.3655 | batch   |
| 42   | Lord                 | 77  | 0.3641 | batch   |
| 43   | JoshJacobs           | 77  | 0.3633 | batch   |
| 44   | jorge                | 77  | 0.3581 | batch   |
| 45   | 9magic               | 77  | 0.3577 | batch   |
| 46   | segunda etapa        | 77  | 0.3556 | batch   |
| 47   | Soldier Boy          | 77  | 0.3556 | batch   |
| 48   | mpjy                 | 76  | 0.3540 | batch   |
| 49   | meow                 | 76  | 0.3534 | batch   |
| 50   | BOARDIIII            | 76  | 0.3526 | batch   |
| 51   | xay                  | 76  | 0.3505 | batch   |
| 52   | lefthanded           | 76  | 0.3497 | batch   |
| 53   | ephesiansVI          | 76  | 0.3496 | batch   |
| 54   | 12zefd               | 76  | 0.3471 | batch   |
| 55   | jon                  | 76  | 0.3459 | batch   |
| 56   | openthevauIts        | 76  | 0.3453 | batch   |
| 57   | lorslime             | 75  | 0.3444 | batch   |
| 58   | timer                | 75  | 0.3435 | batch   |
| 59   | nixogen              | 75  | 0.3411 | batch   |
| 60   | Elijah               | 75  | 0.3394 | batch   |
| 61   | OneManBackcourt      | 75  | 0.3370 | batch   |
| 62   | hostilesuper         | 75  | 0.3370 | batch   |
| 63   | Boom                 | 74  | 0.3338 | batch   |
| 64   | Nedev                | 74  | 0.3332 | batch   |
| 65   | fr0stss              | 74  | 0.3320 | batch   |
| 66   | yso                  | 74  | 0.3306 | batch   |
| 67   | V1L1E                | 74  | 0.3282 | batch   |
| 68   | Ewonke               | 73  | 0.3235 | batch   |
