TEAM,CONFERENCE,GP,WIN,LOSS,PF,PA,DIFF,STREAK,STREAK_SIGN,FFW,FFL
Arizona Panthers,Western,2,0,2,99,132,-33,2,-1,0,0
Sacramento Rage,Western,3,2,2,279,307,-28,1,-1,1,0
Las Vegas Thrill,Western,2,1,2,141,139,2,2,-1,0,1
Houston Hornets,Western,3,2,1,278,239,39,2,1,0,0
Toronto Terror,Eastern,3,3,0,257,188,69,3,1,0,0
Atlanta Breeze,Eastern,2,2,0,218,177,41,2,1,0,0
Baltimore Nighthawks,Eastern,0,0,2,0,0,0,2,-1,0,2
Charlotte Empire,Eastern,1,1,1,76,77,-1,1,1,1,0
Chicago Aces,Eastern,1,2,0,77,76,1,2,1,1,0
Miami Beach Kings,Eastern,3,1,2,246,281,-35,1,1,0,0
New York Knights,Eastern,0,1,2,0,0,0,2,-1,1,2
Orlando Supernovas,Eastern,2,1,1,129,109,20,1,-1,0,0
Philadelphia Glory,Eastern,2,1,3,108,146,-38,1,-1,1,1
Detroit Bullets,Eastern,3,1,2,226,315,-89,2,-1,0,0
Minnesota Huskies,Eastern,2,1,1,151,150,1,1,-1,0,0
Indiana Bandits,Eastern,3,1,2,283,292,-9,1,-1,0,0
Mexico City Aztecs,Western,2,2,0,204,157,47,2,1,0,0
Nashville Anthem,Western,3,2,1,261,180,81,2,1,0,0
Phoenix Power,Western,2,3,0,194,135,59,3,1,1,0
Portland Vipers,Western,3,1,3,213,278,-65,1,-1,1,0
San Diego Storm,Western,2,2,0,169,126,43,2,1,0,0
Seattle Reign,Western,2,0,3,141,206,-65,3,-1,0,1
Washington Volt,Western,3,1,2,240,253,-13,1,-1,0,0
Oregon Skyhawks,Western,3,2,1,262,289,-27,1,1,0,0
