PLAYER,TEAM,CONFERENCE,POSITION,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
ra_chona,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Brauussss,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
capita_I,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
29kLoxks,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
graisgraisworld,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryantanyia,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamcool200a,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
iam_rylow,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
mistergoodboi12,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Noahissabuxket,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Drihbol,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Wad_dlez,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Eztheone123,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
shurozo,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
S1ngularity,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
CarterMasterdude,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Kizhaan,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Theonemarc9,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
tectookyourpeek,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
thebrolol123,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
HELOOKINGFORDASHOOTA,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kingd0919,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kzgf,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
xaywire,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
hellawunns,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Makeswood,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
coyal43,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jona2605,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer_crih,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
