PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
GeeSelm,Toronto Terror,Eastern,N/A,EBA,2,17.5,3.5,11.5,0.5,0,1,3.5,8.5,6,12.5,3,0
EternalAtake,Houston Hornets,Western,N/A,EBA,3,9.333,2.333,0.333,0,3,0.333,1.333,1.333,4,5,2,1
Jama,Houston Hornets,Western,N/A,EBA,2,9,9,2.5,0,3.5,3.5,1.5,2.5,3.5,5,2,1
yso,Houston Hornets,Western,N/A,EBA,3,22,2.333,2.667,0.667,0,1.667,6.333,10.333,7.667,12.333,2,1
Imagine,Toronto Terror,Eastern,N/A,EBA,1,14,0,2,2,0,0,2,2,6,6,3,0
Lord,Toronto Terror,Eastern,N/A,EBA,1,26,2,2,0,0,1,8,10,9,11,3,0
vecolt,Toronto Terror,Eastern,N/A,EBA,1,26,5,7,0,0,0,8,10,9,11,3,0
menoish,Toronto Terror,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,3,0
Kdd,Toronto Terror,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,3,0
Nesh,Toronto Terror,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,3,0
chris,Toronto Terror,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,3,0
SenseiNeo,Houston Hornets,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,2,1
nehi,Washington Volt,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,1,2
xpk,Philadelphia Glory,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,1,3
Lol,New York Knights,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,1,2
zam,Houston Hornets,Western,N/A,EBA,3,27,3.333,2.333,3.667,0.333,0.333,6.667,8.333,9.667,13.333,2,1
GoatedRahim,Houston Hornets,Western,N/A,EBA,3,27.333,1.667,15.333,3.667,0,3,6,10.333,10.667,17.333,2,1
9xrlem,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
Keen,Toronto Terror,Eastern,N/A,EBA,2,29,7.5,3,0,1.5,1.5,4,4,12.5,14.5,3,0
trevonism,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
Paragon,Sacramento Rage,Western,N/A,EBA,2,12,1.5,1,0,1,0,2,2.5,5,9.5,2,2
Bludlinton,Detroit Bullets,Eastern,N/A,EBA,2,8.5,2,13,0,0,3,2,3.5,3,5.5,1,2
ledevoirkaisle,Sacramento Rage,Western,N/A,EBA,1,27,4,5,1,0,1,3,5,11,15,2,2
RatherCallMeChris,Oregon Skyhawks,Western,N/A,EBA,2,14,3,4.5,0,0,1.5,3.5,7.5,5,11,2,1
joeylawliet,Indiana Bandits,Eastern,N/A,EBA,3,8.667,3.667,17.333,0,1,2.333,2,3,3.333,5.333,1,2
sehctn,Oregon Skyhawks,Western,N/A,EBA,3,33.667,3.667,7.333,0,1.667,4.333,8,12.667,12.333,20.667,2,1
Bryce,Indiana Bandits,Eastern,N/A,EBA,3,36.667,0.667,3.333,0.667,0,2.333,8.333,11.333,14,21,1,2
Soldier Boy,Indiana Bandits,Eastern,N/A,EBA,3,16,4.667,6,0,2.333,1.333,1.333,2.667,7,12.667,1,2
lorslime,Indiana Bandits,Eastern,N/A,EBA,3,24,2.333,3,0,0,1.667,5.667,7,9,12.667,1,2
Amir,Sacramento Rage,Western,N/A,EBA,1,8,11,11,0,0,1,2,6,3,8,2,2
