PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,PA,PF,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
Lord,Toronto Terror,Eastern,N/A,EBA,5,9.4,1.2,0.6,0.2,0,0.6,0,0.6,2.6,3.6,3.4,4.8,5,0
GeeSelm,Toronto Terror,Eastern,N/A,EBA,9,13.889,2.667,11.889,0.444,0,2,0,0.222,2.667,5,4.556,7.778,9,0
chris,Toronto Terror,Eastern,N/A,EBA,5,7.6,1.2,0.8,0.2,0,0.4,0,0.6,1.2,1.6,3.2,3.6,5,0
CardiBFan41,Free Agents,N/A,N/A,EBA,3,2.667,0.333,0,0,0,0.333,0,0,0.667,2,1,2.333,2,1
valk,Free Agents,N/A,N/A,EBA,4,3.5,1,0.5,0,0.25,0.5,0,0,1,1,1.25,1.5,0,4
vecolt,Toronto Terror,Eastern,N/A,EBA,5,23.6,2.4,7,0.4,0,1,0,0.2,5.4,6.6,8,10,5,0
Jama,Houston Hornets,Western,N/A,EBA,9,16.333,3.889,1.222,0.111,1.333,1.778,0,0.333,4,5.222,6,7.778,6,3
SenseiNeo,Houston Hornets,Western,N/A,EBA,3,9,0.667,0.333,0,0.667,0.333,0,0,3,3,3,3.333,2,1
menoish,Chicago Aces,Eastern,N/A,EBA,4,5.5,1.5,2.75,0,0.5,1.25,0,1.75,1,1.25,2,3.25,4,0
yso,Free Agents,N/A,N/A,EBA,8,15.5,1.875,1.875,0.375,0,1.375,0,0.625,3.625,6,5.5,8.625,5,3
xpk,Chicago Aces,Eastern,N/A,EBA,3,26.667,2,6.333,0,1,1,0,1.333,4.333,5.333,10,13,2,1
zam,Las Vegas Thrill,Western,N/A,EBA,10,16.5,2.4,2,3.9,0.1,0.6,0,1.3,4.4,5.2,5.9,7.7,7,3
Imagine,Toronto Terror,Eastern,N/A,EBA,8,9.5,1,1.75,1.5,0.125,1.375,0,1.25,2,3.25,3.375,5.25,8,0
Walter,Free Agents,N/A,N/A,EBA,3,14.333,6.333,2,0,0,1.667,0,0.333,3,6,5.667,10.667,1,2
xay,Nashville Anthem,Western,N/A,EBA,5,14.4,3,4,2.8,0.4,0.6,0,3,3,4,5.6,7.4,3,2
