RANK,NAME,SALARY,GMS PLAYED,GOALS,ASSISTS,SAVES,SHOTS,DEMOS,GOALS/G,ASSISTS/G,SAVES/G,SHOTS/G,DEMOS/G,DEMO +/-
1,Comet,205,28,15,17,51,53,46,0.54,0.61,1.82,1.89,1.64,15
2,geo,205,61,74,34,97,237,87,1.21,0.56,1.59,3.89,1.43,20
3,itzconnr,205,61,43,48,117,159,75,0.7,0.79,1.92,2.61,1.23,3
4,Kageinator,205,60,74,45,90,225,67,1.23,0.75,1.5,3.75,1.12,-26
5,kfrost,205,60,54,50,85,180,88,0.9,0.83,1.42,3,1.47,21
6,Rec,200,56,58,20,79,167,68,1.04,0.36,1.41,2.98,1.21,-6
7,Vulcan,200,51,34,37,92,153,99,0.67,0.73,1.8,3,1.94,44
8,Nez,200,63,53,52,122,175,80,0.84,0.83,1.94,2.78,1.27,-3
9,w0lf_rl,195,48,27,28,77,116,64,0.56,0.58,1.6,2.42,1.33,15
10,Shlumpy,195,59,46,43,85,158,103,0.78,0.73,1.44,2.68,1.75,43
11,Ls,195,43,40,23,60,119,60,0.93,0.53,1.4,2.77,1.4,4
12,Ace!,195,42,30,25,74,125,33,0.71,0.6,1.76,2.98,0.79,-17
13,Sizzz,195,51,34,34,76,131,60,0.67,0.67,1.49,2.57,1.18,-3
14,Sheff,195,60,65,34,83,196,70,1.08,0.57,1.38,3.27,1.17,13
15,miniisbot,195,46,34,14,77,107,38,0.74,0.3,1.67,2.33,0.83,-11
16,shishirou,195,50,42,33,64,138,38,0.84,0.66,1.28,2.76,0.76,-24
17,seandc,195,61,48,38,96,164,51,0.79,0.62,1.57,2.69,0.84,-14
18,Mafia,195,46,41,28,99,138,24,0.89,0.61,2.15,3,0.52,-24
19,lilfellarl,195,44,15,18,63,61,49,0.34,0.41,1.43,1.39,1.11,-13
20,Guapo,195,53,57,29,71,186,31,1.08,0.55,1.34,3.51,0.58,-35
21,devinsky jr,195,53,41,35,65,163,77,0.77,0.66,1.23,3.08,1.45,13
22,Exy,195,58,57,38,107,177,74,0.98,0.66,1.84,3.05,1.28,0
23,Tater,195,54,32,39,72,158,76,0.59,0.72,1.33,2.93,1.41,1
24,luigi,195,56,65,50,81,194,68,1.16,0.89,1.45,3.46,1.21,13
25,AMP,190,42,37,29,44,111,88,0.88,0.69,1.05,2.64,2.1,35
26,asunarle,190,60,62,43,77,183,68,1.03,0.72,1.28,3.05,1.13,-21
27,Distant,190,52,37,25,60,117,48,0.71,0.48,1.15,2.25,0.92,-22
28,Sulace,190,45,29,27,64,107,48,0.64,0.6,1.42,2.38,1.07,3
29,Robin,190,43,34,21,52,97,45,0.79,0.49,1.21,2.26,1.05,-4
30,Danger,190,48,42,37,55,121,55,0.87,0.77,1.15,2.52,1.15,1
31,whitlock7,190,23,27,14,34,78,33,1.17,0.61,1.48,3.39,1.43,8
32,Can an Eclipse fly?,190,50,41,24,56,142,89,0.82,0.48,1.12,2.84,1.78,29
33,insanity,190,60,38,49,97,147,43,0.63,0.82,1.62,2.45,0.72,-19
34,condra,190,29,24,30,38,82,40,0.83,1.03,1.31,2.83,1.38,11
35,gumb,190,40,30,20,56,89,64,0.75,0.5,1.4,2.22,1.6,28
36,Can an Oibu fly?,190,63,36,34,113,161,76,0.57,0.54,1.79,2.56,1.21,10
37,takeeover,190,44,31,22,83,107,77,0.7,0.5,1.89,2.43,1.75,35
38,Tman,190,58,49,40,82,177,133,0.84,0.69,1.41,3.05,2.29,47
39,braidedaxe,190,35,33,12,56,85,20,0.94,0.34,1.6,2.43,0.57,-14
40,KuRupT,190,45,17,18,61,90,24,0.38,0.4,1.36,2,0.53,-20
41,Carrybou,190,53,44,31,91,141,74,0.83,0.58,1.72,2.66,1.4,27
42,Mango,190,56,48,20,83,168,115,0.86,0.36,1.48,3,2.05,39
43,maj,190,5,4,2,13,19,1,0.8,0.4,2.6,3.8,0.2,-9
44,snoop,190,37,30,14,37,90,51,0.81,0.38,1,2.43,1.38,6
45,Zack,185,42,23,25,55,102,41,0.55,0.6,1.31,2.43,0.98,-8
46,Linty,185,18,9,11,23,35,11,0.5,0.61,1.28,1.94,0.61,-13
47,cotni.,185,20,9,10,11,61,11,0.45,0.5,0.55,3.05,0.55,-11
48,Jrdn.,185,13,8,10,18,23,12,0.62,0.77,1.38,1.77,0.92,-15
49,colby,185,23,12,13,43,59,27,0.52,0.57,1.87,2.57,1.17,-3
50,LlamaAlmighty,185,26,40,13,31,90,32,1.54,0.5,1.19,3.46,1.23,1
51,valnce,185,31,17,21,27,68,13,0.55,0.68,0.87,2.19,0.42,-33
52,fate,185,29,21,9,36,70,12,0.72,0.31,1.24,2.41,0.41,-20
53,Prisma,185,9,4,4,14,10,4,0.44,0.44,1.56,1.11,0.44,-6
54,araxiax,185,15,7,4,18,24,14,0.47,0.27,1.2,1.6,0.93,-4
55,chip.rl,185,42,34,22,63,104,36,0.81,0.52,1.5,2.48,0.86,-27
56,albaxx,185,28,22,15,36,73,23,0.79,0.54,1.29,2.61,0.82,-20
57,Feathers McGraw,185,29,18,23,43,82,26,0.62,0.79,1.48,2.83,0.9,-3
58,afterburner3375,185,48,25,27,48,107,75,0.52,0.56,1,2.23,1.56,30
59,Laggy,185,11,7,4,7,24,9,0.64,0.36,0.64,2.18,0.82,-6
60,ellectrozx,185,17,5,8,30,39,19,0.29,0.47,1.76,2.29,1.12,6
61,Snipes,185,23,14,21,33,59,19,0.61,0.91,1.43,2.57,0.83,-14
62,jimmyt_06,185,33,18,23,46,70,29,0.55,0.7,1.39,2.12,0.88,-19
63,flashasaurus,185,26,16,14,25,66,20,0.62,0.54,0.96,2.54,0.77,-11
64,sean k.,185,49,36,27,61,127,39,0.73,0.55,1.24,2.59,0.8,-16
65,Siphrry (NCS),180,7,2,1,11,15,6,0.29,0.14,1.57,2.14,0.86,-6
66,Sanzo (NCS),180,4,2,3,9,7,4,0.5,0.75,2.25,1.75,1,-6
67,Chyro (NCS),180,4,1,2,7,10,3,0.25,0.5,1.75,2.5,0.75,-1
68,doge (NCS),180,7,5,0,10,17,12,0.71,0,1.43,2.43,1.71,-1
69,.jatt (NCS),180,9,12,4,13,29,12,1.33,0.44,1.44,3.22,1.33,-5
70,Mixsta. (NCS),175,5,2,1,14,9,4,0.4,0.2,2.8,1.8,0.8,1
71,sprinklerl (NCS),175,4,4,1,5,5,5,1,0.25,1.25,1.25,1.25,3
72,Neoblastz (NCS),170,4,2,2,6,12,3,0.5,0.5,1.5,3,0.75,1
73,wntr. (NCS),165,4,3,2,2,8,5,0.75,0.5,0.5,2,1.25,0
74,Can a Swift Fly? (ML),160,4,3,2,4,7,3,0.75,0.5,1,1.75,0.75,1
75,Cog (ML),145,1,0,0,0,0,0,0,0,0,0,0,-2
76,J(uice Wrl)D (FL),135,4,3,1,8,4,3,0.75,0.25,2,1,0.75,0
77,Nico,,18,15,16,37,39,26,0.83,0.89,2.06,2.17,1.44,3
78,ashes.,,26,13,17,34,64,32,0.5,0.65,1.31,2.46,1.23,8
79,vize_.,,4,3,1,3,7,7,0.75,0.25,0.75,1.75,1.75,2
80,Thunder,,9,5,4,12,22,6,0.56,0.44,1.33,2.44,0.67,-4
81,_jp.,,8,7,5,14,21,13,0.87,0.62,1.75,2.62,1.62,6
82,dibben.,,8,4,6,14,23,18,0.5,0.75,1.75,2.87,2.25,9
83,Taelo,,12,9,6,15,29,7,0.75,0.5,1.25,2.42,0.58,-16
